tag,fy,fp,end,val,unit
CashAndCashEquivalentsAtCarryingValue,2009,FY,2006-12-31,10493000000,USD
CashAndCashEquivalentsAtCarryingValue,2009,FY,2006-12-31,10493000000,USD
CashAndCashEquivalentsAtCarryingValue,2009,Q1,2007-12-31,7362000000,USD
CashAndCashEquivalentsAtCarryingValue,2009,Q2,2007-12-31,7362000000,USD
CashAndCashEquivalentsAtCarryingValue,2009,Q3,2007-12-31,7362000000,USD
CashAndCashEquivalentsAtCarryingValue,2009,FY,2007-12-31,7362000000,USD
CashAndCashEquivalentsAtCarryingValue,2009,FY,2007-12-31,7362000000,USD
CashAndCashEquivalentsAtCarryingValue,2010,FY,2007-12-31,7362000000,USD
CashAndCashEquivalentsAtCarryingValue,2009,Q1,2008-03-31,8208000000,USD
CashAndCashEquivalentsAtCarryingValue,2009,Q2,2008-06-30,8180000000,USD
CashAndCashEquivalentsAtCarryingValue,2009,Q3,2008-09-30,10636000000,USD
CashAndCashEquivalentsAtCarryingValue,2009,Q1,2008-12-31,9347000000,USD
CashAndCashEquivalentsAtCarryingValue,2009,Q2,2008-12-31,9347000000,USD
CashAndCashEquivalentsAtCarryingValue,2009,Q3,2008-12-31,9347000000,USD
CashAndCashEquivalentsAtCarryingValue,2009,FY,2008-12-31,9347000000,USD
CashAndCashEquivalentsAtCarryingValue,2010,Q1,2008-12-31,9347000000,USD
CashAndCashEquivalentsAtCarryingValue,2009,FY,2008-12-31,9347000000,USD
CashAndCashEquivalentsAtCarryingValue,2010,Q2,2008-12-31,9347000000,USD
CashAndCashEquivalentsAtCarryingValue,2010,Q3,2008-12-31,9347000000,USD
CashAndCashEquivalentsAtCarryingValue,2010,FY,2008-12-31,9347000000,USD
CashAndCashEquivalentsAtCarryingValue,2011,FY,2008-12-31,9347000000,USD
CashAndCashEquivalentsAtCarryingValue,2009,Q1,2009-03-31,9150000000,USD
CashAndCashEquivalentsAtCarryingValue,2010,Q1,2009-03-31,9150000000,USD
CashAndCashEquivalentsAtCarryingValue,2009,Q2,2009-06-30,7236000000,USD
CashAndCashEquivalentsAtCarryingValue,2010,Q2,2009-06-30,7236000000,USD
CashAndCashEquivalentsAtCarryingValue,2009,Q3,2009-09-30,7568000000,USD
CashAndCashEquivalentsAtCarryingValue,2010,Q3,2009-09-30,7568000000,USD
CashAndCashEquivalentsAtCarryingValue,2009,FY,2009-12-31,8716000000,USD
CashAndCashEquivalentsAtCarryingValue,2010,Q1,2009-12-31,8716000000,USD
CashAndCashEquivalentsAtCarryingValue,2009,FY,2009-12-31,8716000000,USD
CashAndCashEquivalentsAtCarryingValue,2010,Q2,2009-12-31,8716000000,USD
CashAndCashEquivalentsAtCarryingValue,2010,Q3,2009-12-31,8716000000,USD
CashAndCashEquivalentsAtCarryingValue,2010,FY,2009-12-31,8716000000,USD
CashAndCashEquivalentsAtCarryingValue,2011,Q1,2009-12-31,8716000000,USD
CashAndCashEquivalentsAtCarryingValue,2011,Q2,2009-12-31,8716000000,USD
CashAndCashEquivalentsAtCarryingValue,2011,Q3,2009-12-31,8716000000,USD
CashAndCashEquivalentsAtCarryingValue,2011,FY,2009-12-31,8716000000,USD
CashAndCashEquivalentsAtCarryingValue,2012,FY,2009-12-31,8716000000,USD
CashAndCashEquivalentsAtCarryingValue,2010,Q1,2010-03-31,7376000000,USD
CashAndCashEquivalentsAtCarryingValue,2011,Q1,2010-03-31,7376000000,USD
CashAndCashEquivalentsAtCarryingValue,2010,Q2,2010-06-30,9396000000,USD
CashAndCashEquivalentsAtCarryingValue,2011,Q2,2010-06-30,9396000000,USD
CashAndCashEquivalentsAtCarryingValue,2010,Q3,2010-09-30,10995000000,USD
CashAndCashEquivalentsAtCarryingValue,2011,Q3,2010-09-30,10995000000,USD
CashAndCashEquivalentsAtCarryingValue,2010,FY,2010-12-31,14060000000,USD
CashAndCashEquivalentsAtCarryingValue,2011,Q1,2010-12-31,14060000000,USD
CashAndCashEquivalentsAtCarryingValue,2011,Q2,2010-12-31,14060000000,USD
CashAndCashEquivalentsAtCarryingValue,2011,Q3,2010-12-31,14060000000,USD
CashAndCashEquivalentsAtCarryingValue,2011,FY,2010-12-31,14060000000,USD
CashAndCashEquivalentsAtCarryingValue,2012,Q1,2010-12-31,14060000000,USD
CashAndCashEquivalentsAtCarryingValue,2012,Q2,2010-12-31,14060000000,USD
CashAndCashEquivalentsAtCarryingValue,2012,Q3,2010-12-31,14060000000,USD
CashAndCashEquivalentsAtCarryingValue,2012,FY,2010-12-31,14060000000,USD
CashAndCashEquivalentsAtCarryingValue,2013,FY,2010-12-31,14060000000,USD
CashAndCashEquivalentsAtCarryingValue,2011,Q1,2011-03-31,13149000000,USD
CashAndCashEquivalentsAtCarryingValue,2012,Q1,2011-03-31,13149000000,USD
CashAndCashEquivalentsAtCarryingValue,2011,Q2,2011-06-30,13335000000,USD
CashAndCashEquivalentsAtCarryingValue,2012,Q2,2011-06-30,13335000000,USD
CashAndCashEquivalentsAtCarryingValue,2011,Q3,2011-09-30,14229000000,USD
CashAndCashEquivalentsAtCarryingValue,2012,Q3,2011-09-30,14229000000,USD
CashAndCashEquivalentsAtCarryingValue,2011,FY,2011-12-31,15864000000,USD
CashAndCashEquivalentsAtCarryingValue,2012,Q1,2011-12-31,15864000000,USD
CashAndCashEquivalentsAtCarryingValue,2012,Q2,2011-12-31,15864000000,USD
CashAndCashEquivalentsAtCarryingValue,2012,Q3,2011-12-31,15864000000,USD
CashAndCashEquivalentsAtCarryingValue,2012,FY,2011-12-31,15864000000,USD
CashAndCashEquivalentsAtCarryingValue,2013,Q1,2011-12-31,15864000000,USD
CashAndCashEquivalentsAtCarryingValue,2013,Q2,2011-12-31,15864000000,USD
CashAndCashEquivalentsAtCarryingValue,2013,Q3,2011-12-31,15864000000,USD
CashAndCashEquivalentsAtCarryingValue,2013,FY,2011-12-31,15864000000,USD
CashAndCashEquivalentsAtCarryingValue,2014,FY,2011-12-31,15864000000,USD
CashAndCashEquivalentsAtCarryingValue,2012,Q1,2012-03-31,18871000000,USD
CashAndCashEquivalentsAtCarryingValue,2013,Q1,2012-03-31,18871000000,USD
CashAndCashEquivalentsAtCarryingValue,2012,Q2,2012-06-30,21209000000,USD
CashAndCashEquivalentsAtCarryingValue,2013,Q2,2012-06-30,21209000000,USD
CashAndCashEquivalentsAtCarryingValue,2012,Q3,2012-09-30,21313000000,USD
CashAndCashEquivalentsAtCarryingValue,2013,Q3,2012-09-30,21313000000,USD
CashAndCashEquivalentsAtCarryingValue,2012,FY,2012-12-31,20939000000,USD
CashAndCashEquivalentsAtCarryingValue,2013,Q1,2012-12-31,20939000000,USD
CashAndCashEquivalentsAtCarryingValue,2013,Q2,2012-12-31,20939000000,USD
CashAndCashEquivalentsAtCarryingValue,2013,Q3,2012-12-31,20939000000,USD
CashAndCashEquivalentsAtCarryingValue,2013,FY,2012-12-31,20939000000,USD
CashAndCashEquivalentsAtCarryingValue,2014,Q1,2012-12-31,20939000000,USD
CashAndCashEquivalentsAtCarryingValue,2014,Q2,2012-12-31,20939000000,USD
CashAndCashEquivalentsAtCarryingValue,2014,Q3,2012-12-31,20939000000,USD
CashAndCashEquivalentsAtCarryingValue,2014,FY,2012-12-31,20939000000,USD
CashAndCashEquivalentsAtCarryingValue,2015,FY,2012-12-31,20939000000,USD
CashAndCashEquivalentsAtCarryingValue,2013,Q1,2013-03-31,17374000000,USD
CashAndCashEquivalentsAtCarryingValue,2014,Q1,2013-03-31,17374000000,USD
CashAndCashEquivalentsAtCarryingValue,2013,Q2,2013-06-30,20630000000,USD
CashAndCashEquivalentsAtCarryingValue,2014,Q2,2013-06-30,20630000000,USD
CashAndCashEquivalentsAtCarryingValue,2013,Q3,2013-09-30,17014000000,USD
CashAndCashEquivalentsAtCarryingValue,2014,Q3,2013-09-30,17014000000,USD
CashAndCashEquivalentsAtCarryingValue,2013,FY,2013-12-31,16245000000,USD
CashAndCashEquivalentsAtCarryingValue,2014,Q1,2013-12-31,16245000000,USD
CashAndCashEquivalentsAtCarryingValue,2014,Q2,2013-12-31,16245000000,USD
CashAndCashEquivalentsAtCarryingValue,2014,Q3,2013-12-31,16245000000,USD
CashAndCashEquivalentsAtCarryingValue,2014,FY,2013-12-31,16245000000,USD
CashAndCashEquivalentsAtCarryingValue,2015,Q1,2013-12-31,16245000000,USD
CashAndCashEquivalentsAtCarryingValue,2015,Q2,2013-12-31,16245000000,USD
CashAndCashEquivalentsAtCarryingValue,2015,Q3,2013-12-31,16245000000,USD
CashAndCashEquivalentsAtCarryingValue,2015,FY,2013-12-31,16245000000,USD
CashAndCashEquivalentsAtCarryingValue,2016,FY,2013-12-31,16245000000,USD
CashAndCashEquivalentsAtCarryingValue,2014,Q1,2014-03-31,15612000000,USD
CashAndCashEquivalentsAtCarryingValue,2015,Q1,2014-03-31,15612000000,USD
CashAndCashEquivalentsAtCarryingValue,2014,Q2,2014-06-30,13959000000,USD
CashAndCashEquivalentsAtCarryingValue,2015,Q2,2014-06-30,13959000000,USD
CashAndCashEquivalentsAtCarryingValue,2014,Q3,2014-09-30,14215000000,USD
CashAndCashEquivalentsAtCarryingValue,2015,Q3,2014-09-30,14215000000,USD
CashAndCashEquivalentsAtCarryingValue,2014,FY,2014-12-31,12785000000,USD
CashAndCashEquivalentsAtCarryingValue,2015,Q1,2014-12-31,12785000000,USD
CashAndCashEquivalentsAtCarryingValue,2015,Q2,2014-12-31,12785000000,USD
CashAndCashEquivalentsAtCarryingValue,2015,Q3,2014-12-31,12785000000,USD
CashAndCashEquivalentsAtCarryingValue,2015,FY,2014-12-31,12785000000,USD
CashAndCashEquivalentsAtCarryingValue,2016,Q1,2014-12-31,12785000000,USD
CashAndCashEquivalentsAtCarryingValue,2016,Q2,2014-12-31,12785000000,USD
CashAndCashEquivalentsAtCarryingValue,2016,Q3,2014-12-31,12785000000,USD
CashAndCashEquivalentsAtCarryingValue,2016,FY,2014-12-31,12785000000,USD
CashAndCashEquivalentsAtCarryingValue,2017,FY,2014-12-31,12785000000,USD
CashAndCashEquivalentsAtCarryingValue,2015,Q1,2015-03-31,12675000000,USD
CashAndCashEquivalentsAtCarryingValue,2016,Q1,2015-03-31,12675000000,USD
CashAndCashEquivalentsAtCarryingValue,2015,Q2,2015-06-30,12156000000,USD
CashAndCashEquivalentsAtCarryingValue,2016,Q2,2015-06-30,12156000000,USD
CashAndCashEquivalentsAtCarryingValue,2015,Q3,2015-09-30,12933000000,USD
CashAndCashEquivalentsAtCarryingValue,2016,Q3,2015-09-30,12933000000,USD
CashAndCashEquivalentsAtCarryingValue,2015,FY,2015-12-31,11022000000,USD
CashAndCashEquivalentsAtCarryingValue,2016,Q1,2015-12-31,11022000000,USD
CashAndCashEquivalentsAtCarryingValue,2016,Q2,2015-12-31,11022000000,USD
CashAndCashEquivalentsAtCarryingValue,2016,Q3,2015-12-31,11022000000,USD
CashAndCashEquivalentsAtCarryingValue,2016,FY,2015-12-31,11022000000,USD
CashAndCashEquivalentsAtCarryingValue,2017,Q1,2015-12-31,11022000000,USD
CashAndCashEquivalentsAtCarryingValue,2017,Q2,2015-12-31,11022000000,USD
CashAndCashEquivalentsAtCarryingValue,2017,Q3,2015-12-31,11022000000,USD
CashAndCashEquivalentsAtCarryingValue,2017,FY,2015-12-31,11022000000,USD
CashAndCashEquivalentsAtCarryingValue,2018,FY,2015-12-31,11022000000,USD
CashAndCashEquivalentsAtCarryingValue,2016,Q1,2016-03-31,8562000000,USD
CashAndCashEquivalentsAtCarryingValue,2017,Q1,2016-03-31,8562000000,USD
CashAndCashEquivalentsAtCarryingValue,2016,Q2,2016-06-30,8764000000,USD
CashAndCashEquivalentsAtCarryingValue,2017,Q2,2016-06-30,8764000000,USD
CashAndCashEquivalentsAtCarryingValue,2016,Q3,2016-09-30,7351000000,USD
CashAndCashEquivalentsAtCarryingValue,2017,Q3,2016-09-30,7351000000,USD
CashAndCashEquivalentsAtCarryingValue,2016,FY,2016-12-31,6988000000,USD
CashAndCashEquivalentsAtCarryingValue,2017,Q1,2016-12-31,6988000000,USD
CashAndCashEquivalentsAtCarryingValue,2017,Q2,2016-12-31,6988000000,USD
CashAndCashEquivalentsAtCarryingValue,2017,Q3,2016-12-31,6988000000,USD
CashAndCashEquivalentsAtCarryingValue,2017,FY,2016-12-31,6988000000,USD
CashAndCashEquivalentsAtCarryingValue,2018,Q1,2016-12-31,6988000000,USD
CashAndCashEquivalentsAtCarryingValue,2018,Q2,2016-12-31,6988000000,USD
CashAndCashEquivalentsAtCarryingValue,2018,Q3,2016-12-31,6988000000,USD
CashAndCashEquivalentsAtCarryingValue,2018,FY,2016-12-31,6988000000,USD
CashAndCashEquivalentsAtCarryingValue,2017,Q1,2017-03-31,6983000000,USD
CashAndCashEquivalentsAtCarryingValue,2018,Q1,2017-03-31,6983000000,USD
CashAndCashEquivalentsAtCarryingValue,2017,Q2,2017-06-30,4762000000,USD
CashAndCashEquivalentsAtCarryingValue,2018,Q2,2017-06-30,4762000000,USD
CashAndCashEquivalentsAtCarryingValue,2017,Q3,2017-09-30,6641000000,USD
CashAndCashEquivalentsAtCarryingValue,2018,Q3,2017-09-30,6641000000,USD
CashAndCashEquivalentsAtCarryingValue,2017,FY,2017-12-31,4813000000,USD
CashAndCashEquivalentsAtCarryingValue,2018,Q1,2017-12-31,4813000000,USD
CashAndCashEquivalentsAtCarryingValue,2018,Q2,2017-12-31,4813000000,USD
CashAndCashEquivalentsAtCarryingValue,2018,Q3,2017-12-31,4813000000,USD
CashAndCashEquivalentsAtCarryingValue,2018,FY,2017-12-31,4813000000,USD
CashAndCashEquivalentsAtCarryingValue,2019,Q1,2017-12-31,4813000000,USD
CashAndCashEquivalentsAtCarryingValue,2019,Q2,2017-12-31,4813000000,USD
CashAndCashEquivalentsAtCarryingValue,2019,Q3,2017-12-31,4813000000,USD
CashAndCashEquivalentsAtCarryingValue,2018,Q1,2018-03-31,6466000000,USD
CashAndCashEquivalentsAtCarryingValue,2019,Q1,2018-03-31,6466000000,USD
CashAndCashEquivalentsAtCarryingValue,2018,Q2,2018-06-30,7628000000,USD
CashAndCashEquivalentsAtCarryingValue,2019,Q2,2018-06-30,7628000000,USD
CashAndCashEquivalentsAtCarryingValue,2018,Q3,2018-09-30,9686000000,USD
CashAndCashEquivalentsAtCarryingValue,2019,Q3,2018-09-30,9686000000,USD
CashAndCashEquivalentsAtCarryingValue,2018,FY,2018-12-31,9342000000,USD
CashAndCashEquivalentsAtCarryingValue,2019,Q1,2018-12-31,9342000000,USD
CashAndCashEquivalentsAtCarryingValue,2019,Q2,2018-12-31,9342000000,USD
CashAndCashEquivalentsAtCarryingValue,2019,Q3,2018-12-31,9342000000,USD
CashAndCashEquivalentsAtCarryingValue,2019,Q1,2019-03-31,8699000000,USD
CashAndCashEquivalentsAtCarryingValue,2019,Q2,2019-06-30,8513000000,USD
CashAndCashEquivalentsAtCarryingValue,2019,Q3,2019-09-30,11697000000,USD
CashAndCashEquivalentsAtCarryingValue,2022,Q2,2020-12-31,5596000000,USD
CashAndCashEquivalentsAtCarryingValue,2022,Q3,2020-12-31,5596000000,USD
CashAndCashEquivalentsAtCarryingValue,2022,FY,2020-12-31,5596000000,USD
